type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
CASH_IN,63516.66,C4651324,54465.0,117981.66,C1850473537,0.0,0.0,0,0
CASH_IN,159445.4,C1979267367,227600.92,387046.31,C1177644576,751211.13,591765.73,0,0
CASH_IN,77739.33,C1886966268,2040.0,79779.33,C1677904805,50056.0,2532.04,0,0
CASH_OUT,135334.88,C312314421,48786.0,0.0,C503930792,0.0,135334.88,0,0
CASH_IN,118393.7,C728959033,50962.0,169355.7,C279942911,0.0,167607.91,0,0
PAYMENT,24447.43,C1054572525,782.0,0.0,M1329972810,0.0,0.0,0,0
CASH_OUT,52916.05,C1562030289,13421.0,0.0,C1050164095,550619.03,603535.08,0,0
CASH_OUT,140201.58,C269335831,0.0,0.0,C751990813,236815.7,377017.28,0,0
PAYMENT,65798.65,C1156643312,39933.9,0.0,M1338863127,0.0,0.0,0,0
CASH_OUT,29769.41,C388777612,0.0,0.0,C402828186,5849250.86,5879020.27,0,0
PAYMENT,1845.44,C607840529,72695.0,70849.56,M1788947431,0.0,0.0,0,0
PAYMENT,7962.29,C799308280,0.0,0.0,M1404344898,0.0,0.0,0,0
CASH_OUT,37650.9,C518436773,3283.0,0.0,C1648839832,541329.59,578980.48,0,0
CASH_OUT,181790.9,C997792211,0.0,0.0,C1308408600,1287037.82,1531956.74,0,0
CASH_OUT,452659.59,C1106692209,459.0,0.0,C151304692,0.0,452659.59,0,0
PAYMENT,4300.41,C1491710208,34337.0,30036.59,M545601659,0.0,0.0,0,0
CASH_OUT,162229.4,C1153627220,15536.0,0.0,C944520376,1045225.92,1207455.32,0,0
PAYMENT,822.84,C313051252,0.0,0.0,M956211248,0.0,0.0,0,0
PAYMENT,6471.85,C982316196,17050.0,10578.15,M810448520,0.0,0.0,0,0
CASH_IN,97852.46,C528987923,21158.0,119010.46,C1776105005,622377.62,524525.15,0,0
PAYMENT,11176.71,C2111229457,0.0,0.0,M249615208,0.0,0.0,0,0
CASH_OUT,7444.31,C544966934,99587.29,92142.99,C1244839062,1276908.98,1284353.28,0,0
TRANSFER,1453010.97,C2043898830,0.0,0.0,C1835605154,2664003.55,4117014.52,0,0
PAYMENT,13173.36,C1377538470,0.0,0.0,M1322016954,0.0,0.0,0,0
PAYMENT,4855.43,C369422957,587289.15,582433.71,M1032672916,0.0,0.0,0,0
PAYMENT,1188.64,C754413508,0.0,0.0,M102892175,0.0,0.0,0,0
PAYMENT,33973.86,C1364206061,0.0,0.0,M920751493,0.0,0.0,0,0
PAYMENT,9336.87,C1994588872,387662.95,378326.08,M1008256517,0.0,0.0,0,0
CASH_OUT,28880.68,C96468234,0.0,0.0,C1725605731,243309.42,690797.87,0,0
PAYMENT,2256.31,C1786542440,9330.0,7073.69,M1689077848,0.0,0.0,0,0
PAYMENT,31887.63,C766734468,55468.0,23580.37,M813101627,0.0,0.0,0,0
CASH_OUT,342895.71,C1606843063,20652.0,0.0,C1236900719,34317.74,377213.45,0,0
PAYMENT,3466.01,C695847953,19414.02,15948.01,M1491650361,0.0,0.0,0,0
PAYMENT,944.95,C1614926236,40056.0,39111.05,M1269750134,0.0,0.0,0,0
PAYMENT,19243.64,C921613791,0.0,0.0,M1484272771,0.0,0.0,0,0
PAYMENT,1287.07,C1469033481,0.0,0.0,M543851481,0.0,0.0,0,0
PAYMENT,1654.46,C1842096148,667430.71,665776.25,M1724825731,0.0,0.0,0,0
PAYMENT,24805.31,C394944830,0.0,0.0,M130892662,0.0,0.0,0,0
TRANSFER,452306.92,C1035193957,100482.0,0.0,C540234064,0.0,452306.92,0,0
