artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,sadness,feelings,topic,age
riley green,i wish grandpas never died,2019,country,wish girls love give ring wish porch swing wish kid learn shake hand wish state birmingham wish everybody know word mama try wish monday mornings felt like friday nights wish cars truck bed road name copperhead coolers cold light wish high school home team lose road drinkin kid catch wish cotton high wish honky tonks close time wish grandpas die wish sunday creek bank wish learn drive wish time seventeen kiss chevrolet happen wish everybody overseas gonna home wish country music play country radio wish cars truck bed road name copperhead coolers cold light wish high school home team lose road drinkin kid catch wish cotton high wish honky tonks close time wish grandpas die die wish good dog grey wish farm sell wish cars truck bed road name copperhead coolers cold light wish high school home team lose road drinkin kid catch wish cotton high wish honky tonks close time wish grandpas die wish grandpas die,157,0.000449843,0.000449843,0.000449843,0.000449843,0.000449843,0.009686033,0.023823357,0.000449843,0.000449843,0.044373771,0.4513455375406036,0.03820736,0.010441354,0.4081135452581409,0.000449843,sadness,0.014285714
b.o.b,back and forth,2019,hip hop,hear go sleep fuck outta room yeah logic beat kick rhyme slow gotta time fuckin know half white half negro guess double talent guess nice tryna like dyke cause famish famish better depths hungary like budapest go death collar bomba cause blow mind like osama word obama action word time drama bring wisdom like dalai lama hear castro hotter take shots tabasco shit constipate flow wonder fuck know homies asshole style define cause definition truth want proof better listen dissin waste time waste amaze rhyme fine homie need help stay dim yeah flow presidential acapella need instrumental sleep leave like seattle wordplay vicious homie wanna scrabble wanna battle shit leave paddle rid somebody saddle wifey livin like matter fact princess cause live like bama execute emotion perpetual grammar cause stamina colder hotter hades spit baby infect rabies fact skin like scabies,141,0.014075978,0.071787624,0.000641849,0.1165458395792435,0.043062905,0.000641849,0.000641849,0.146580273,0.5458416842974338,0.000641849,0.000641849,0.000641849,0.000641849,0.000641849,0.035049389,obscene,0.014285714
granger smith,holler,2019,country,cold can blue box dibble boom aframe rockin grip dirt road couple buddies sayin let gonna burn right grind tonight raise tryin throw little country fade truck line lookin buzz girls boys blue collar holler double rockin flag strap head rack blowin night kerosene pour pile tree step strike match watch friday ignite raise tryin throw little country fade truck line lookin buzz girls boys blue collar holler dibble yeeyee listen bout fuse crack long pouch rip yeah thing packin lips jumpin tailgate poppin like gauge care city boys party damn right yeeyee raise tryin throw little country fade truck line lookin buzz girls boys blue collar holler holler chrous repeat,111,0.00074129,0.00074129,0.00074129,0.069507375,0.01539282,0.046830288,0.00074129,0.00074129,0.3037479632509276,0.063427242,0.4167634599455218,0.033630307,0.00074129,0.00074129,0.00074129,obscene,0.014285714
thee oh sees,poisoned stones,2019,blues,operation night suit eye lay basement awake night alright bake wasteland night suit eye stand corner night want alright bathroom right maybe come shoot silent ceiling puddle floor knock door,30,0.002506266,0.4361805759772598,0.002506266,0.4735537156804082,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,night/time,0.014285714
iya terra,follow your heart (feat. zion thompson from the green),2019,reggae,wish atlas path feel like go astray know long hard journey go wouldn heart guide focus mission step time analyze vision fall line know gonna okay word ring true want feel spirit darkest days follow heart days hard remember purpose long learn journey season reason follow heart follow heart feel follow heart cause everybody look future want cause crumble tomorrow feel sorrow wonder cause know change near afraid move know grow gonna stop know feel like like remember stay strong weather follow heart days hard remember purpose long learn journey,90,0.000701754,0.000701754,0.3631118023161362,0.06229435,0.015052034,0.000701754,0.000701754,0.094668511,0.000701754,0.000701755,0.000701754,0.000701754,0.014517111,0.1829531870921345,0.088260588,world/life,0.014285714
passion pit,i found u,2019,rock,look look look years bring lower believe light look know yeah know barely alive yeah life fleet feel yeah feel life fleet feel yeah feel believe lyric commercial,28,0.002105263,0.002105263,0.3182446912547721,0.002105263,0.1824601108190843,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.050387385,0.002105263,0.002105263,0.1622465462710329,world/life,0.014285714
ali gatie,it's you,2019,pop,gonna fall know people feel like break heart tear apart know start trust break break delicate break heart trust break break yeah know feel open real hurt yeah hurt inside scar fall gonna fall know people feel like break heart tear apart know start trust break break delicate break heart trust break know best choose lovers know past speak think right baby history repeat cause want yeah want yeah want cause want yeah want yeah thing want gonna fall know people feel like break heart tear apart know start trust break break delicate break heart trust break cause want baby want baby want baby want baby want baby want baby want cause want baby want baby want baby want baby want baby want baby want,125,0.1201335284521625,0.000431406,0.000431406,0.000431406,0.055198916,0.000431406,0.000431406,0.1240737024240321,0.000431406,0.000431406,0.000431406,0.000431406,0.024174089,0.4445427570931547,0.019562151,sadness,0.014285714
the black keys,breaking down,2019,blues,go stumble catch trap somethin bone deep pull know cruel heart ache escape feel like break take ocean sink ship like brick sulk catch ride tide lovin spin round aground heart ache escape feel like break earth shake soul take feel like break break heart ache escape feel like break break,51,0.029421907,0.001253133,0.001253133,0.001253133,0.001253133,0.001253133,0.001253133,0.001253133,0.039762786,0.001253133,0.060051398,0.001253133,0.051000217,0.4312541625694047,0.090837873,sadness,0.014285714
jordan rakei,mind’s eye,2019,jazz,voice head whisper sing sleep dream right catch rain drench memory pain soak sour taste better play mind wide open awaken beast meadow playful hop doorway soul come root cause producer applause mention fault effort need grab inner resource certainly blind force let world take course supersede play mind wide open awaken beast meadow playful hop doorway soul play mind wide open awaken beast meadow playful hop doorway soul brain trap magical maze feel hopelessness face mess brain trap magical maze feel hopelessness face mess play mind wide open awaken beast meadow playful hop doorway soul play mind wide open awaken beast meadow playful hop doorway soul mind mind mind mind mind mind mind mind,115,0.000773994,0.232580731,0.059716765,0.2101457694343622,0.000773994,0.000773994,0.000773994,0.000773994,0.000773994,0.095284263,0.000773994,0.000773994,0.000773994,0.3914365580278763,0.000773994,sadness,0.014285714
rival sons,imperial joy,2019,blues,go stay late things like wide awake crawl long sunday whoawhoa whoawhoawhoa look little blood run vein come kiss thousand years gonna follow follow long wanna school university neverending joke crawl long monday look little blood run vein come kiss thousand years gonna follow follow long look little blood run vein come kiss thousand years know gonna follow follow long say blood run vein come kiss thousand years know gonna follow follow long,73,0.000809717,0.4082835334621184,0.1095258743401136,0.1261942271401616,0.000809717,0.058751416,0.066363102,0.000809717,0.000809717,0.000809717,0.098254277,0.000809717,0.000809717,0.000809717,0.000809717,violence,0.014285714
